//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
m	393	427	0	0	0	0	40s	100	1	3955
m	376	427	0	0	0	0	40s	100	1	3955
m	389	429	0	0	0	0	40s	100	1	3955
m	380	429	0	0	0	0	40s	100	1	3955
m	385	430	0	0	0	0	40s	100	1	3955
m	387	428	0	0	0	0	40s	100	1	3955
m	382	428	0	0	0	0	40s	100	1	3955
m	374	426	0	0	0	0	40s	100	1	3955
m	394	424	0	0	0	0	40s	100	1	3955
m	386	424	0	0	0	0	40s	100	1	3955
m	382	424	0	0	0	0	40s	100	1	3954
m	377	424	0	0	0	0	40s	100	1	3954
m	390	424	0	0	0	0	40s	100	1	3954
m	394	421	0	0	0	0	40s	100	1	3954
m	389	421	0	0	0	0	40s	100	1	3954
m	381	422	0	0	0	0	40s	100	1	3954
m	376	422	0	0	0	0	40s	100	1	3954
m	373	422	0	0	0	0	40s	100	1	3954
m	395	422	0	0	0	0	40s	100	1	3954
m	384	425	0	0	0	0	40s	100	1	3956
