//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
m	403	389	0	0	0	0	20s	100	1	3952
m	403	388	0	0	0	0	20s	100	1	3952
m	403	387	0	0	0	0	20s	100	1	3952
m	403	386	0	0	0	0	20s	100	1	3952

m	365	389	0	0	0	0	20s	100	1	3952
m	365	388	0	0	0	0	20s	100	1	3952
m	365	387	0	0	0	0	20s	100	1	3952
m	365	386	0	0	0	0	20s	100	1	3952

m	365	416	0	0	0	0	20s	100	1	3952
m	365	415	0	0	0	0	20s	100	1	3952
m	365	414	0	0	0	0	20s	100	1	3952
m	365	413	0	0	0	0	20s	100	1	3952

m	403	416	0	0	0	0	20s	100	1	3952
m	403	415	0	0	0	0	20s	100	1	3952
m	403	414	0	0	0	0	20s	100	1	3952
m	403	413	0	0	0	0	20s	100	1	3952
